Adverse_Event	Total_Signals	Female_Biased	Male_Biased	Max_Fold_Difference
Device dislocation	220	0	220	76.7
Drug intolerance	176	95	81	28.8
Off label use	174	93	81	103.0
General physical health deterioration	170	116	54	51.0
Contraindicated product administered	168	89	79	82.2
Condition aggravated	163	74	89	24.2
Product use in unapproved indication	159	82	77	42.9
Swelling	155	89	66	48.6
Product use issue	153	123	30	95.9
Treatment failure	153	115	38	29.6
Drug ineffective	152	74	78	21.8
Wheezing	152	107	45	41.6
Infusion related reaction	148	137	11	75.0
Type 2 diabetes mellitus	146	70	76	34.5
Hepatic enzyme increased	145	128	17	61.9
Asthma	144	86	58	27.9
Pain	144	94	50	40.5
Hypertension	140	105	35	19.4
Blood cholesterol increased	139	86	53	132.7
Drug hypersensitivity	138	61	77	27.9
Hypersensitivity	135	92	43	36.5
Pyrexia	135	109	26	30.4
Dry mouth	130	67	63	44.2
Sleep disorder	130	90	40	43.3
Vomiting	126	73	53	29.4
Rash	125	108	17	27.7
Fatigue	124	84	40	25.7
Lower respiratory tract infection	122	90	32	89.7
Therapeutic product effect incomplete	122	70	52	28.1
Adverse drug reaction	121	110	11	560.9
Alopecia	121	47	74	129.3
Obesity	121	106	15	65.5
Drug abuse	117	92	25	32.0
Pericarditis	117	65	52	134.6
Therapeutic product effect decreased	117	95	22	70.3
Dyspnoea	116	66	50	30.1
Weight increased	116	92	24	68.7
Wound	115	90	25	69.0
Anxiety	114	38	76	59.0
Loss of personal independence in daily activities	113	29	84	20.3
Oedema	113	101	12	28.7
Pneumonia	113	92	21	12.7
Pulmonary embolism	113	17	96	55.2
Confusional state	112	86	26	67.3
Injury	112	103	9	46.0
Urticaria	112	67	45	22.2
Abdominal discomfort	111	89	22	74.6
Lung disorder	110	83	27	21.6
Impaired healing	109	81	28	50.4
Nausea	109	38	71	28.4
Foetal exposure during pregnancy	108	60	48	668.3
Stomatitis	108	81	27	45.2
Blister	107	102	5	87.1
Folliculitis	107	54	53	67.0
Stress	107	7	100	43.0
C-reactive protein increased	106	94	12	20.8
Discomfort	106	81	25	53.0
Hyponatraemia	106	42	64	24.5
Joint swelling	106	78	28	51.9
Nasopharyngitis	106	73	33	67.7
Pulmonary fibrosis	106	80	26	30.3
Depression	104	59	45	24.4
Gastrointestinal disorder	103	91	12	50.8
Hypercholesterolaemia	103	62	41	49.1
Night sweats	101	81	20	22.0
Constipation	100	56	44	56.7
Overdose	100	87	13	27.6
Systemic lupus erythematosus	100	36	64	76.1
Glossodynia	99	49	50	82.7
Rheumatoid arthritis	99	64	35	19.0
Toxicity to various agents	99	69	30	44.1
Angioedema	98	92	6	24.2
Infection	98	80	18	27.7
Intentional product use issue	97	80	17	143.8
Osteoarthritis	97	52	45	18.6
Incorrect route of product administration	96	54	42	21.9
Ill-defined disorder	95	87	8	37.9
Musculoskeletal stiffness	95	62	33	23.4
Complication associated with device	94	0	94	9.3
Headache	94	50	44	28.4
Abdominal distension	93	22	71	20.6
Arthropathy	93	77	16	37.6
Mobility decreased	93	80	13	19.6
Sinusitis	93	67	26	31.5
Bursitis	91	66	25	21.1
Maternal exposure during pregnancy	90	21	69	197.9
Delirium	89	87	2	51.0
Prescribed overdose	89	80	9	73.5
Liver injury	88	81	7	60.8
Decreased appetite	87	68	19	24.7
Drug interaction	87	60	27	10.9
Intentional product misuse	87	27	60	31.3
Abdominal pain	86	38	48	21.8
Adverse event	86	81	5	23.5
Hypoaesthesia	86	66	20	17.7
Pain in extremity	86	27	59	15.2
Gait inability	85	73	12	26.0
Abdominal pain upper	84	63	21	22.7
Drug-induced liver injury	84	74	10	13.6
Hypothyroidism	84	23	61	27.1
